hour,minute,second,brightness,elapsedSeconds,isClockOn
10,39,39,500,0,1
10,40,0,520,21,1
10,41,0,528,26,0
10,42,0,500,86,0
10,43,0,500,146,0
10,44,0,500,206,0
10,45,0,500,266,0
10,46,0,500,326,0
10,47,0,500,386,0
10,48,0,500,446,0
10,49,0,500,506,0
10,50,0,500,566,0
10,51,0,500,626,0
10,52,0,500,686,0
10,53,0,500,746,0
10,54,0,500,806,0
10,55,0,519,20,1
10,56,0,579,80,1
10,57,0,639,140,1
10,58,0,699,200,1
10,59,0,759,260,1
11,0,0,819,320,1
11,1,0,879,380,1
11,2,0,939,440,1
11,3,0,999,500,1
11,4,0,1059,560,1
11,5,0,1119,620,1
11,6,0,1179,680,1
11,7,0,1238,740,1
11,8,0,1298,800,1
11,9,0,1358,860,1
11,10,0,1418,920,1
11,11,0,1478,980,1
11,12,0,1538,1040,1
11,13,0,1598,1100,1
11,14,0,1658,1160,1
11,15,0,1718,1220,1
11,16,0,1778,1280,1
11,17,0,1838,1340,1
11,18,0,1898,1400,1
11,19,0,1957,1460,1
11,20,0,2017,1520,1
11,21,0,2077,1580,1
11,22,0,2137,1640,1
11,23,0,2197,1700,1
11,24,0,2257,1760,1
11,25,0,2317,1820,1
11,26,0,2377,1880,1
11,27,0,2437,1940,1
11,28,0,2497,2000,1
11,29,0,2557,2060,1
11,30,0,2617,2120,1
11,31,0,2676,2180,1
11,32,0,2736,2240,1
11,33,0,2796,2300,1
11,34,0,2856,2360,1
11,35,0,2916,2420,1
11,36,0,2976,2480,1
11,37,0,3036,2540,1
11,38,0,3096,2600,1
11,39,0,3156,2660,1
11,40,0,3216,2720,1
11,41,0,3276,2780,1
11,42,0,3336,2840,1
11,43,0,3395,2900,1
11,44,0,3455,2960,1
11,45,0,3515,3020,1
11,46,0,3575,3080,1
11,47,0,3635,3140,1
11,48,0,3695,3200,1
11,49,0,3755,3260,1
11,50,0,3815,3320,1
11,51,0,3875,3380,1
11,52,0,3935,3440,1
11,53,0,3995,3500,1
11,54,0,4055,3560,1
11,55,0,4095,3620,1
11,56,0,4095,3680,1
11,57,0,4095,3740,1
11,58,0,4095,3800,1
11,59,0,4095,3860,1
0,0,0,4095,47120,1
0,1,0,4095,47180,1
0,2,0,4095,47240,1
0,3,0,4095,47300,1
0,4,0,4095,47360,1
0,5,0,4095,47420,1
0,6,0,4095,47480,1
0,7,0,4095,47540,1
0,8,0,4095,47600,1
0,9,0,4095,47660,1
0,10,0,4095,47720,1
0,11,0,4095,47780,1
0,12,0,4095,47840,1
0,13,0,4095,47900,1
0,14,0,4095,47960,1
0,15,0,4095,48020,1
0,16,0,4095,48080,1
0,17,0,4095,48140,1
0,18,0,4095,48200,1
0,19,0,4095,48260,1
0,20,0,4095,48320,1
0,21,0,4095,48380,1
0,22,0,4095,48440,1
0,23,0,4095,48500,1
0,24,0,4095,48560,1
0,25,0,4095,48620,1
0,26,0,4095,48680,1
0,27,0,4095,48740,1
0,28,0,4095,48800,1
0,29,0,4095,48860,1
0,30,0,4095,48920,1
0,31,0,4095,48980,1
0,32,0,4095,49040,1
0,33,0,4095,49100,1
