hour,minute,second,brightness,elapsedSeconds,isClockOn
8,34,52,200,0,0
8,35,0,200,8,0
8,36,0,261,57,1
8,37,0,326,117,1
8,38,0,391,177,1
8,39,0,456,237,1
8,40,0,521,297,1
8,41,0,586,357,1
8,42,0,651,417,1
8,43,0,716,477,1
8,44,0,781,537,1
8,45,0,845,597,1
8,46,0,910,657,1
8,47,0,975,717,1
8,48,0,1040,777,1
8,49,0,1105,837,1
8,50,0,1170,897,1
8,51,0,1235,957,1
8,52,0,1300,1017,1
8,53,0,1365,1077,1
8,54,0,1430,1137,1
8,55,0,1495,1197,1
8,56,0,1560,1257,1
8,57,0,1624,1317,1
8,58,0,1689,1377,1
8,59,0,1754,1437,1
9,0,0,1819,1497,1
9,1,0,1884,1557,1
9,2,0,1949,1617,1
9,3,0,2014,1677,1
9,4,0,2079,1737,1
9,5,0,2144,1797,1
9,6,0,2209,1857,1
9,7,0,2274,1917,1
9,8,0,2339,1977,1
9,9,0,2403,2037,1
9,10,0,2468,2097,1
9,11,0,2533,2157,1
9,12,0,2598,2217,1
9,13,0,2663,2277,1
9,14,0,2728,2337,1
9,15,0,2793,2397,1
9,16,0,2858,2457,1
9,17,0,2923,2517,1
9,18,0,2988,2577,1
9,19,0,3053,2637,1
9,20,0,3118,2697,1
9,21,0,3182,2757,1
9,22,0,3247,2817,1
9,23,0,3312,2877,1
9,24,0,3377,2937,1
9,25,0,3442,2997,1
9,26,0,3507,3057,1
9,27,0,3572,3117,1
9,28,0,3637,3177,1
9,29,0,3702,3237,1
9,30,0,3767,3297,1
9,31,0,3832,3357,1
9,32,0,3897,3417,1
9,33,0,3961,3477,1
9,34,0,4026,3537,1
9,35,0,4091,3597,1
9,36,0,4095,3657,1
9,37,0,4095,3717,1
9,38,0,4095,3777,1
9,39,0,4095,3837,1
9,40,0,4095,3897,1
9,41,0,4095,3957,1
9,42,0,4095,4017,1
9,43,0,4095,4077,1
9,44,0,4095,4137,1
9,45,0,4095,4197,1
9,46,0,4095,4257,1
9,47,0,4095,4317,1
9,48,0,4095,4377,1
9,49,0,4095,4437,1
9,50,0,4095,4497,1
9,51,0,4095,4557,1
9,52,0,4095,4617,1
9,53,0,4095,4677,1
9,54,0,4095,4737,1
9,55,0,4095,4797,1
9,56,0,4095,4857,1
9,57,0,4095,4917,1
9,58,0,4095,4977,1
9,59,0,4095,5037,1
10,0,0,4095,5097,1
10,1,0,4095,5157,1
10,2,0,4095,5217,1
10,3,0,4095,5277,1
10,4,0,4095,5337,1
10,5,0,4095,5397,1
10,6,0,4095,5457,1
10,7,0,4095,5517,1
10,8,0,4095,5577,1
10,9,0,4095,5637,1
10,10,0,4095,5697,1
10,11,0,4095,5757,1
10,12,0,4095,5817,1
10,13,0,4095,5877,1
10,14,0,4095,5937,1
10,15,0,4095,5997,1
10,16,0,4095,6057,1
10,17,0,4095,6117,1
10,18,0,4095,6177,1
10,19,0,4095,6237,1
10,20,0,4095,6297,1
10,21,0,4095,6357,1
10,22,0,4095,6417,1
10,23,0,4095,6477,1
10,24,0,4095,6537,1
10,25,0,4095,6597,1
10,26,0,4095,6657,1
10,27,0,4095,6717,1
10,28,0,4095,6777,1
10,29,0,4095,6837,1
10,30,0,4095,6897,1
10,31,0,4095,6957,1
10,32,0,4095,7017,1
10,33,0,4095,7077,1
10,34,0,4095,7137,1
10,35,0,4095,7197,1
10,36,0,4095,7257,1
10,37,0,4095,7317,1
10,38,0,4095,7377,1
10,39,0,4095,7437,1
10,40,0,4095,7497,1
10,41,0,4095,7557,1
10,42,0,4095,7617,1
10,43,0,4095,7677,1
10,44,0,4095,7737,1
10,45,0,4095,7797,1
10,46,0,4095,7857,1
10,47,0,4095,7917,1
10,48,0,4095,7977,1
10,49,0,4095,8037,1
10,50,0,4095,8097,1
10,51,0,4095,8157,1
10,52,0,4095,8217,1
10,53,0,4095,8277,1
10,54,0,4095,8337,1
10,55,0,4095,8397,1
10,56,0,4095,8457,1
10,57,0,4095,8517,1
10,58,0,4095,8577,1
10,59,0,4095,8637,1
11,0,0,4095,8697,1
11,1,0,4095,8757,1
11,2,0,4095,8817,1
11,3,0,4095,8877,1
11,4,0,4095,8937,1
11,5,0,4095,8997,1
11,6,0,4095,9057,1
11,7,0,4095,9117,1
11,8,0,4095,9177,1
11,9,0,4095,9237,1
11,10,0,4095,9297,1
11,11,0,4095,9357,1
11,12,0,4095,9417,1
11,13,0,4095,9477,1
11,14,0,4095,9537,1
11,15,0,4095,9597,1
11,16,0,4095,9657,1
11,17,0,4095,9717,1
11,18,0,4095,9777,1
11,19,0,4095,9837,1
11,20,0,4095,9897,1
11,21,0,4095,9957,1
11,22,0,4095,10017,1
11,23,0,4095,10077,1
11,24,0,4095,10137,1
11,25,0,4095,10197,1
11,26,0,4095,10257,1
11,27,0,4095,10317,1
11,28,0,4095,10377,1
