hour,minute,second,brightness,elapsedSeconds,isSunset,isManualMode
21,26,0,100,203,0,0
21,27,0,100,263,0,0
21,28,0,100,323,0,0
21,29,0,100,383,0,0
21,30,0,100,443,0,0
21,31,0,100,12,0,0
21,32,0,100,72,0,0
21,33,0,100,132,0,0
21,34,0,100,192,0,0
21,35,0,100,252,0,0
21,36,0,100,312,0,0
21,37,0,100,372,0,0
21,38,0,100,432,0,0
21,39,0,100,492,0,0
21,40,0,100,552,0,0
21,41,0,100,612,0,0
21,42,0,100,672,0,0
21,43,0,98,59,1,0
21,44,0,96,119,1,0
21,45,0,95,179,1,0
21,46,0,93,239,1,0
21,47,0,92,299,1,0
21,48,0,90,359,1,0
21,49,0,89,419,1,0
21,50,0,87,479,1,0
21,51,0,86,539,1,0
21,52,0,84,599,1,0
21,53,0,83,659,1,0
21,54,0,81,719,1,0
21,55,0,79,779,1,0
21,56,0,78,839,1,0
21,57,0,76,899,1,0
21,58,0,75,959,1,0
21,59,0,73,1019,1,0
22,0,0,72,1079,1,0
22,1,0,70,1139,1,0
22,2,0,69,1199,1,0
22,3,0,67,1259,1,0
22,4,0,66,1319,1,0
22,5,0,64,1379,1,0
22,6,0,62,1439,1,0
22,7,0,61,1499,1,0
22,8,0,59,1559,1,0
22,9,0,58,1619,1,0
22,10,0,56,1679,1,0
22,11,0,55,1739,1,0
22,12,0,53,1799,1,0
22,13,0,52,1859,1,0
22,14,0,50,1919,1,0
22,15,0,49,1979,1,0
22,16,0,47,2039,1,0
22,17,0,45,2099,1,0
22,18,0,44,2159,1,0
22,19,0,42,2219,1,0
22,20,0,41,2279,1,0
22,21,0,39,2339,1,0
22,22,0,38,2399,1,0
22,23,0,36,2459,1,0
22,24,0,35,2519,1,0
22,25,0,33,2579,1,0
22,26,0,32,2639,1,0
22,27,0,30,2699,1,0
22,28,0,28,2759,1,0
22,29,0,27,2819,1,0
22,30,0,25,2879,1,0
22,31,0,24,2939,1,0
22,32,0,22,2999,1,0
22,33,0,21,3059,1,0
22,34,0,19,3119,1,0
22,35,0,18,3179,1,0
22,36,0,16,3239,1,0
22,37,0,15,3299,1,0
22,38,0,13,3359,1,0
22,39,0,11,3419,1,0
22,40,0,10,3479,1,0
22,41,0,8,3539,1,0
22,42,0,7,3599,1,0
22,43,0,7,3659,1,0
22,44,0,7,3719,1,0
22,45,0,7,3779,1,0
22,46,0,7,3839,1,0
22,47,0,7,3899,1,0
22,48,0,7,3959,1,0
22,49,0,7,4019,1,0
22,50,0,7,4079,1,0
22,51,0,7,4139,1,0
22,52,0,7,4199,1,0
22,53,0,7,4259,1,0
22,54,0,7,4319,1,0
22,55,0,7,4379,1,0
22,56,0,7,4439,1,0
22,57,0,7,4499,1,0
22,58,0,7,4559,1,0
22,59,0,7,4619,1,0
23,0,0,7,4679,1,0
23,1,0,7,4739,1,0
23,2,0,7,4799,1,0
23,3,0,7,4859,1,0
23,4,0,7,4919,1,0
23,5,0,7,4979,1,0
23,6,0,7,5039,1,0
23,7,0,7,5099,1,0
23,8,0,7,5159,1,0
23,9,0,7,5219,1,0
23,10,0,7,5279,1,0
23,11,0,7,5339,1,0
23,12,0,7,5399,1,0
23,13,0,7,5459,1,0
23,14,0,7,5519,1,0
23,15,0,7,5579,1,0
23,16,0,7,5639,1,0
23,17,0,7,5699,1,0
23,18,0,7,5759,1,0
23,19,0,7,5819,1,0
23,20,0,7,5879,1,0
23,21,0,7,5939,1,0
23,22,0,7,5999,1,0
23,23,0,7,6059,1,0
23,24,0,7,6119,1,0
23,25,0,7,6179,1,0
23,26,0,7,6239,1,0
23,27,0,7,6299,1,0
23,28,0,7,6359,1,0
23,29,0,7,6419,1,0
23,30,0,7,6479,1,0
23,31,0,7,6539,1,0
23,32,0,7,6599,1,0
23,33,0,7,6659,1,0
23,34,0,7,6719,1,0
23,35,0,7,6779,1,0
23,36,0,7,6839,1,0
23,37,0,7,6899,1,0
23,38,0,7,6959,1,0
23,39,0,7,7019,1,0
23,40,0,7,7079,1,0
23,41,0,7,7139,1,0
23,42,0,7,7199,1,0
23,43,0,7,7259,1,0
23,44,0,7,7319,1,0
23,45,0,7,7379,1,0
23,46,0,7,7439,1,0
23,47,0,7,7499,1,0
23,48,0,7,7559,1,0
23,49,0,7,7619,1,0
23,50,0,7,7679,1,0
23,51,0,7,7739,1,0
23,52,0,7,7799,1,0
23,53,0,7,7859,1,0
23,54,0,7,7919,1,0
23,55,0,7,7979,1,0
23,56,0,7,8039,1,0
23,57,0,7,8099,1,0
23,58,0,7,8159,1,0
23,59,0,7,8219,1,0
0,0,0,7,8279,1,0
0,1,0,7,8339,1,0
0,2,0,7,8399,1,0
0,3,0,7,8459,1,0
0,4,0,7,8519,1,0
0,5,0,7,8579,1,0
0,6,0,7,8639,1,0
0,7,0,7,8699,1,0
0,8,0,7,8759,1,0
0,9,0,7,8819,1,0
0,10,0,7,8879,1,0
0,11,0,7,8939,1,0
0,12,0,7,8999,1,0
0,13,0,7,9059,1,0
0,14,0,7,9119,1,0
0,15,0,7,9179,1,0
0,16,0,7,9239,1,0
0,17,0,7,9299,1,0
0,18,0,7,9359,1,0
0,19,0,7,9419,1,0
0,20,0,7,9479,1,0
0,21,0,7,9539,1,0
0,22,0,7,9599,1,0
0,23,0,7,9659,1,0
0,24,0,7,9719,1,0
0,25,0,7,9779,1,0
0,26,0,7,9839,1,0
0,27,0,7,9899,1,0
0,28,0,7,9959,1,0
0,29,0,7,10019,1,0
0,30,0,7,10079,1,0
0,31,0,7,10139,1,0
0,32,0,7,10199,1,0
0,33,0,7,10259,1,0
0,34,0,7,10319,1,0
0,35,0,7,10379,1,0
0,36,0,7,10439,1,0
0,37,0,7,10499,1,0
0,38,0,7,10559,1,0
0,39,0,7,10619,1,0
0,40,0,7,10679,1,0
0,41,0,7,10739,1,0
0,42,0,7,10799,1,0
0,43,0,7,10859,1,0
0,44,0,7,10919,1,0
0,45,0,7,10979,1,0
0,46,0,7,11039,1,0
0,47,0,7,11099,1,0
0,48,0,7,11159,1,0
0,49,0,7,11219,1,0
0,50,0,7,11279,1,0
0,51,0,7,11339,1,0
0,52,0,7,11399,1,0
0,53,0,7,11459,1,0
0,54,0,7,11519,1,0
0,55,0,7,11579,1,0
0,56,0,7,11639,1,0
0,57,0,7,11699,1,0
0,58,0,7,11759,1,0
0,59,0,7,11819,1,0
1,0,0,7,11879,1,0
1,1,0,7,11939,1,0
1,2,0,7,11999,1,0
1,3,0,7,12059,1,0
1,4,0,7,12119,1,0
1,5,0,7,12179,1,0
1,6,0,7,12239,1,0
1,7,0,7,12299,1,0
1,8,0,7,12359,1,0
1,9,0,7,12419,1,0
1,10,0,7,12479,1,0
1,11,0,7,12539,1,0
1,12,0,7,12599,1,0
1,13,0,7,12659,1,0
1,14,0,7,12719,1,0
1,15,0,7,12779,1,0
1,16,0,7,12839,1,0
1,17,0,7,12899,1,0
1,18,0,7,12959,1,0
1,19,0,7,13019,1,0
1,20,0,7,13079,1,0
1,21,0,7,13139,1,0
1,22,0,7,13199,1,0
1,23,0,7,13259,1,0
1,24,0,7,13319,1,0
1,25,0,7,13379,1,0
1,26,0,7,13439,1,0
1,27,0,7,13499,1,0
1,28,0,7,13559,1,0
1,29,0,7,13619,1,0
1,30,0,7,13679,1,0
1,31,0,7,13739,1,0
1,32,0,7,13799,1,0
1,33,0,7,13859,1,0
1,34,0,7,13919,1,0
1,35,0,7,13979,1,0
1,36,0,7,14039,1,0
1,37,0,7,14099,1,0
1,38,0,7,14159,1,0
1,39,0,7,14219,1,0
1,40,0,7,14279,1,0
1,41,0,7,14339,1,0
1,42,0,7,14399,1,0
1,43,0,7,14459,1,0
1,44,0,7,14519,1,0
1,45,0,7,14579,1,0
1,46,0,7,14639,1,0
1,47,0,7,14699,1,0
1,48,0,7,14759,1,0
1,49,0,7,14819,1,0
1,50,0,7,14879,1,0
1,51,0,7,14939,1,0
1,52,0,7,14999,1,0
1,53,0,7,15059,1,0
1,54,0,7,15119,1,0
1,55,0,7,15179,1,0
1,56,0,7,15239,1,0
1,57,0,7,15299,1,0
1,58,0,7,15359,1,0
1,59,0,7,15419,1,0
2,0,0,7,15479,1,0
2,1,0,7,15539,1,0
2,2,0,7,15599,1,0
2,3,0,7,15659,1,0
2,4,0,7,15719,1,0
2,5,0,7,15779,1,0
2,6,0,7,15839,1,0
2,7,0,7,15899,1,0
2,8,0,7,15959,1,0
2,9,0,7,16019,1,0
2,10,0,7,16079,1,0
2,11,0,7,16139,1,0
2,12,0,7,16199,1,0
2,13,0,7,16259,1,0
2,14,0,7,16319,1,0
2,15,0,7,16379,1,0
2,16,0,7,16439,1,0
2,17,0,7,16499,1,0
2,18,0,7,16559,1,0
2,19,0,7,16619,1,0
2,20,0,7,16679,1,0
2,21,0,7,16739,1,0
2,22,0,7,16799,1,0
2,23,0,7,16859,1,0
2,24,0,7,16919,1,0
2,25,0,7,16979,1,0
2,26,0,7,17039,1,0
2,27,0,7,17099,1,0
2,28,0,7,17159,1,0
2,29,0,7,17219,1,0
2,30,0,7,17279,1,0
2,31,0,7,17339,1,0
2,32,0,7,17399,1,0
2,33,0,7,17459,1,0
2,34,0,7,17519,1,0
2,35,0,7,17579,1,0
2,36,0,7,17639,1,0
2,37,0,7,17699,1,0
2,38,0,7,17759,1,0
2,39,0,7,17819,1,0
2,40,0,7,17879,1,0
2,41,0,7,17939,1,0
2,42,0,7,17999,1,0
2,43,0,7,18059,1,0
2,44,0,7,18119,1,0
2,45,0,7,18179,1,0
2,46,0,7,18239,1,0
2,47,0,7,18299,1,0
2,48,0,7,18359,1,0
2,49,0,7,18419,1,0
2,50,0,7,18479,1,0
2,51,0,7,18539,1,0
2,52,0,7,18599,1,0
2,53,0,7,18659,1,0
2,54,0,7,18719,1,0
2,55,0,7,18779,1,0
2,56,0,7,18839,1,0
2,57,0,7,18899,1,0
2,58,0,7,18959,1,0
2,59,0,7,19019,1,0
3,0,0,7,19079,1,0
3,1,0,7,19139,1,0
3,2,0,7,19199,1,0
3,3,0,7,19259,1,0
3,4,0,7,19319,1,0
3,5,0,7,19379,1,0
3,6,0,7,19439,1,0
3,7,0,7,19499,1,0
3,8,0,7,19559,1,0
3,9,0,7,19619,1,0
3,10,0,7,19679,1,0
3,11,0,7,19739,1,0
3,12,0,7,19799,1,0
3,13,0,7,19859,1,0
3,14,0,7,19919,1,0
3,15,0,7,19979,1,0
3,16,0,7,20039,1,0
3,17,0,7,20099,1,0
3,18,0,7,20159,1,0
3,19,0,7,20219,1,0
3,20,0,7,20279,1,0
3,21,0,7,20339,1,0
3,22,0,7,20399,1,0
3,23,0,7,20459,1,0
3,24,0,7,20519,1,0
3,25,0,7,20579,1,0
3,26,0,7,20639,1,0
3,27,0,7,20699,1,0
3,28,0,7,20759,1,0
3,29,0,7,20819,1,0
3,30,0,7,20879,1,0
3,31,0,7,20939,1,0
3,32,0,7,20999,1,0
3,33,0,7,21059,1,0
3,34,0,7,21119,1,0
3,35,0,7,21180,1,0
3,36,0,7,21239,1,0
3,37,0,7,21299,1,0
3,38,0,7,21359,1,0
3,39,0,7,21419,1,0
3,40,0,7,21479,1,0
3,41,0,7,21539,1,0
3,42,0,7,21599,1,0
3,43,0,7,21659,1,0
3,44,0,7,21719,1,0
3,45,0,7,21779,1,0
3,46,0,7,21839,1,0
3,47,0,7,21899,1,0
3,48,0,7,21959,1,0
3,49,0,7,22019,1,0
3,50,0,7,22079,1,0
3,51,0,7,22139,1,0
3,52,0,7,22199,1,0
3,53,0,7,22259,1,0
3,54,0,7,22319,1,0
3,55,0,7,22379,1,0
3,56,0,7,22439,1,0
3,57,0,7,22499,1,0
3,58,0,7,22559,1,0
3,59,0,7,22619,1,0
4,0,0,7,22679,1,0
4,1,0,7,22739,1,0
4,2,0,7,22799,1,0
4,3,0,7,22859,1,0
4,4,0,7,22919,1,0
4,5,0,7,22979,1,0
4,6,0,7,23039,1,0
4,7,0,7,23099,1,0
4,8,0,7,23159,1,0
4,9,0,7,23219,1,0
4,10,0,7,23279,1,0
4,11,0,7,23339,1,0
4,12,0,7,23399,1,0
4,13,0,7,23459,1,0
4,14,0,7,23519,1,0
4,15,0,7,23579,1,0
4,16,0,7,23639,1,0
4,17,0,7,23699,1,0
4,18,0,7,23759,1,0
4,19,0,7,23819,1,0
4,20,0,7,23879,1,0
4,21,0,7,23939,1,0
4,22,0,7,23999,1,0
4,23,0,7,24059,1,0
4,24,0,7,24119,1,0
4,25,0,7,24179,1,0
4,26,0,7,24239,1,0
4,27,0,7,24299,1,0
4,28,0,7,24359,1,0
4,29,0,7,24419,1,0
4,30,0,7,24479,1,0
4,31,0,7,24539,1,0
4,32,0,7,24599,1,0
4,33,0,7,24659,1,0
4,34,0,7,24719,1,0
4,35,0,7,24779,1,0
4,36,0,7,24839,1,0
4,37,0,7,24899,1,0
4,38,0,7,24959,1,0
4,39,0,7,25019,1,0
4,40,0,7,25079,1,0
4,41,0,7,25139,1,0
4,42,0,7,25199,1,0
4,43,0,7,25259,1,0
4,44,0,7,25319,1,0
4,45,0,7,25379,1,0
4,46,0,7,25439,1,0
4,47,0,7,25499,1,0
4,48,0,7,25559,1,0
4,49,0,7,25619,1,0
4,50,0,7,25679,1,0
4,51,0,7,25739,1,0
4,52,0,7,25799,1,0
4,53,0,7,25859,1,0
4,54,0,7,25919,1,0
4,55,0,7,25979,1,0
4,56,0,7,26039,1,0
4,57,0,7,26099,1,0
4,58,0,7,26159,1,0
4,59,0,7,26219,1,0
5,0,0,7,26279,1,0
5,1,0,7,26339,1,0
5,2,0,7,26399,1,0
5,3,0,7,26459,1,0
5,4,0,7,26519,1,0
5,5,0,7,26579,1,0
5,6,0,7,26639,1,0
5,7,0,7,26699,1,0
5,8,0,7,26759,1,0
5,9,0,7,26819,1,0
5,10,0,7,26879,1,0
5,11,0,7,26939,1,0
5,12,0,7,26999,1,0
5,13,0,7,27059,1,0
5,14,0,7,27119,1,0
5,15,0,7,27179,1,0
5,16,0,7,27239,1,0
5,17,0,7,27299,1,0
5,18,0,7,27359,1,0
5,19,0,7,27419,1,0
5,20,0,7,27479,1,0
5,21,0,7,27539,1,0
5,22,0,7,27599,1,0
5,23,0,7,27659,1,0
5,24,0,7,27719,1,0
5,25,0,7,27779,1,0
5,26,0,7,27839,1,0
5,27,0,7,27899,1,0
5,28,0,7,27959,1,0
5,29,0,7,28019,1,0
5,30,0,7,28079,1,0
5,31,0,7,28139,1,0
5,32,0,7,28199,1,0
5,33,0,7,28259,1,0
5,34,0,7,28319,1,0
5,35,0,7,28379,1,0
5,36,0,7,28439,1,0
5,37,0,7,28499,1,0
5,38,0,7,28559,1,0
5,39,0,7,28619,1,0
5,40,0,7,28679,1,0
5,41,0,7,28739,1,0
5,42,0,7,28799,1,0
5,43,0,7,28859,1,0
5,44,0,7,28919,1,0
5,45,0,7,28979,1,0
5,46,0,7,29039,1,0
5,47,0,7,29099,1,0
5,48,0,7,29159,1,0
5,49,0,7,29219,1,0
5,50,0,7,29279,1,0
5,51,0,7,29339,1,0
5,52,0,7,29399,1,0
5,53,0,7,29459,1,0
5,54,0,7,29519,1,0
5,55,0,7,29579,1,0
5,56,0,7,29639,1,0
5,57,0,7,29699,1,0
5,58,0,7,29759,1,0
5,59,0,7,29819,1,0
6,0,0,7,29879,1,0
6,1,0,7,29939,1,0
6,2,0,7,29999,1,0
6,3,0,7,30059,1,0
6,4,0,7,30119,1,0
6,5,0,7,30179,1,0
6,6,0,7,30239,1,0
6,7,0,7,30299,1,0
6,8,0,7,30359,1,0
6,9,0,7,30419,1,0
6,10,0,7,30480,1,0
6,11,0,7,30539,1,0
6,12,0,7,30599,1,0
6,13,0,7,30659,1,0
6,14,0,7,30719,1,0
6,15,0,7,30779,1,0
6,16,0,7,30839,1,0
6,17,0,7,30899,1,0
6,18,0,7,30959,1,0
6,19,0,8,59,0,0
6,20,0,10,119,0,0
6,21,0,11,179,0,0
6,22,0,13,239,0,0
6,23,0,15,299,0,0
6,24,0,16,359,0,0
6,25,0,18,419,0,0
6,26,0,19,479,0,0
6,27,0,21,539,0,0
6,28,0,22,599,0,0
6,29,0,24,659,0,0
6,30,0,25,719,0,0
6,31,0,27,779,0,0
6,32,0,28,839,0,0
6,33,0,30,899,0,0
6,34,0,31,959,0,0
6,35,0,33,1019,0,0
6,36,0,35,1079,0,0
6,37,0,36,1139,0,0
6,38,0,38,1199,0,0
6,39,0,39,1259,0,0
6,40,0,41,1319,0,0
6,41,0,42,1379,0,0
6,42,0,44,1439,0,0
6,43,0,45,1499,0,0
6,44,0,47,1559,0,0
6,45,0,48,1619,0,0
6,46,0,50,1679,0,0
6,47,0,52,1739,0,0
6,48,0,53,1799,0,0
6,49,0,55,1859,0,0
6,50,0,56,1919,0,0
6,51,0,58,1979,0,0
6,52,0,59,2039,0,0
6,53,0,61,2099,0,0
6,54,0,62,2159,0,0
6,55,0,64,2219,0,0
6,56,0,65,2279,0,0
6,57,0,67,2339,0,0
6,58,0,69,2399,0,0
6,59,0,70,2459,0,0
7,0,0,72,2519,0,0
7,1,0,73,2579,0,0
7,2,0,75,2639,0,0
7,3,0,76,2699,0,0
7,4,0,78,2759,0,0
7,5,0,79,2819,0,0
7,6,0,81,2879,0,0
7,7,0,82,2939,0,0
7,8,0,84,2999,0,0
7,9,0,86,3059,0,0
7,10,0,87,3119,0,0
7,11,0,89,3179,0,0
7,12,0,90,3239,0,0
7,13,0,92,3299,0,0
7,14,0,93,3359,0,0
7,15,0,95,3419,0,0
7,16,0,96,3479,0,0
7,17,0,98,3539,0,0
7,18,0,99,3599,0,0
7,19,0,100,3659,0,0
7,20,0,100,3719,0,0
7,21,0,100,3779,0,0
7,22,0,100,3839,0,0
7,23,0,100,3899,0,0
7,24,0,100,3959,0,0
7,25,0,100,4019,0,0
7,26,0,100,4079,0,0
7,27,0,100,4139,0,0
7,28,0,100,4199,0,0
7,29,0,100,4259,0,0
7,30,0,100,4319,0,0
7,31,0,100,4379,0,0
7,32,0,100,4439,0,0
7,33,0,100,4499,0,0
7,34,0,100,4559,0,0
7,35,0,100,4619,0,0
7,36,0,100,4679,0,0
7,37,0,100,4739,0,0
7,38,0,100,4799,0,0
7,39,0,100,4859,0,0
7,40,0,100,4919,0,0
7,41,0,100,4979,0,0
7,42,0,100,5039,0,0
7,43,0,100,5099,0,0
7,44,0,100,5159,0,0
7,45,0,100,5219,0,0
7,46,0,100,5279,0,0
7,47,0,100,5339,0,0
7,48,0,100,5399,0,0
7,49,0,100,5459,0,0
7,50,0,100,5519,0,0
7,51,0,100,5579,0,0
7,52,0,100,5639,0,0
7,53,0,100,5699,0,0
7,54,0,100,5759,0,0
7,55,0,100,5819,0,0
7,56,0,100,5879,0,0
7,57,0,100,5939,0,0
7,58,0,100,5999,0,0
7,59,0,100,6059,0,0
