hour,minute,second,brightness,elapsedSeconds,isSunset,isManualMode
23,53,37,7,0,1,0
23,54,0,7,22,1,0
23,55,0,7,82,1,0
23,56,0,7,142,1,0
23,57,0,7,202,1,0
23,58,0,7,262,1,0
23,59,0,7,322,1,0
0,0,0,7,382,1,0
0,1,0,7,442,1,0
0,2,0,7,502,1,0
0,3,0,7,562,1,0
0,4,0,7,622,1,0
0,5,0,7,682,1,0
0,6,0,7,742,1,0
0,7,0,7,802,1,0
0,8,0,7,862,1,0
0,9,0,7,922,1,0
0,10,0,7,982,1,0
0,11,0,7,1042,1,0
0,12,0,7,1102,1,0
0,13,0,7,1162,1,0
0,14,0,7,1222,1,0
0,15,0,7,1282,1,0
0,16,0,7,1342,1,0
0,17,0,7,1402,1,0
0,18,0,7,1462,1,0
0,19,0,7,1522,1,0
0,20,0,7,1582,1,0
0,21,0,7,1642,1,0
0,22,0,7,1702,1,0
0,23,0,7,1762,1,0
0,24,0,7,1822,1,0
0,25,0,7,1882,1,0
0,26,0,7,1942,1,0
0,27,0,7,2002,1,0
0,28,0,7,2062,1,0
0,29,0,7,2122,1,0
0,30,0,7,2182,1,0
0,31,0,7,2242,1,0
0,32,0,7,2302,1,0
0,33,0,7,2362,1,0
0,34,0,7,2422,1,0
0,35,0,7,2482,1,0
0,36,0,7,2542,1,0
0,37,0,7,2602,1,0
0,38,0,7,2662,1,0
0,39,0,7,2722,1,0
0,40,0,7,2782,1,0
0,41,0,7,2842,1,0
0,42,0,7,2902,1,0
0,43,0,7,2962,1,0
0,44,0,7,3022,1,0
0,45,0,7,3082,1,0
0,46,0,7,3142,1,0
0,47,0,7,3202,1,0
0,48,0,7,3262,1,0
0,49,0,7,3322,1,0
0,50,0,7,3382,1,0
0,51,0,7,3442,1,0
0,52,0,7,3502,1,0
0,53,0,7,3562,1,0
0,54,0,7,3622,1,0
0,55,0,7,3682,1,0
0,56,0,7,3742,1,0
0,57,0,7,3802,1,0
0,58,0,7,3862,1,0
0,59,0,7,3922,1,0
1,0,0,7,3982,1,0
1,1,0,7,4042,1,0
1,2,0,7,4102,1,0
1,3,0,7,4162,1,0
1,4,0,7,4222,1,0
1,5,0,7,4282,1,0
1,6,0,7,4342,1,0
1,7,0,7,4402,1,0
1,8,0,7,4462,1,0
1,9,0,7,4522,1,0
1,10,0,7,4582,1,0
1,11,0,7,4642,1,0
1,12,0,7,4703,1,0
1,13,0,7,4762,1,0
1,14,0,7,4822,1,0
1,15,0,7,4882,1,0
1,16,0,7,4942,1,0
1,17,0,7,5002,1,0
1,18,0,7,5062,1,0
1,19,0,7,5123,1,0
1,20,0,7,5182,1,0
1,21,0,7,5242,1,0
1,22,0,7,5302,1,0
1,23,0,7,5362,1,0
1,24,0,7,5422,1,0
1,25,0,7,5482,1,0
1,26,0,7,5542,1,0
1,27,0,7,5602,1,0
1,28,0,7,5662,1,0
1,29,0,7,5722,1,0
1,30,0,7,5782,1,0
1,31,0,7,5842,1,0
1,32,0,7,5902,1,0
1,33,0,7,5962,1,0
1,34,0,7,6022,1,0
1,35,0,7,6082,1,0
1,36,0,7,6142,1,0
1,37,0,7,6202,1,0
1,38,0,7,6262,1,0
1,39,0,7,6322,1,0
1,40,0,7,6382,1,0
1,41,0,7,6442,1,0
1,42,0,7,6502,1,0
1,43,0,7,6562,1,0
1,44,0,7,6622,1,0
1,45,0,7,6682,1,0
1,46,0,7,6742,1,0
1,47,0,7,6802,1,0
1,48,0,7,6862,1,0
1,49,0,7,6922,1,0
1,50,0,7,6982,1,0
1,51,0,7,7042,1,0
1,52,0,7,7102,1,0
1,53,0,7,7162,1,0
1,54,0,7,7222,1,0
1,55,0,7,7282,1,0
1,56,0,7,7342,1,0
1,57,0,7,7402,1,0
1,58,0,7,7462,1,0
1,59,0,7,7522,1,0
2,0,0,7,7582,1,0
2,1,0,7,7642,1,0
2,2,0,7,7702,1,0
2,3,0,7,7762,1,0
2,4,0,7,7822,1,0
2,5,0,7,7882,1,0
2,6,0,7,7942,1,0
2,7,0,7,8002,1,0
2,8,0,7,8062,1,0
2,9,0,7,8122,1,0
2,10,0,7,8182,1,0
2,11,0,7,8242,1,0
2,12,0,7,8302,1,0
2,13,0,7,8362,1,0
2,14,0,7,8422,1,0
2,15,0,7,8482,1,0
2,16,0,7,8542,1,0
2,17,0,7,8602,1,0
2,18,0,7,8662,1,0
2,19,0,7,8722,1,0
2,20,0,7,8782,1,0
2,21,0,7,8842,1,0
2,22,0,7,8902,1,0
2,23,0,7,8962,1,0
2,24,0,7,9022,1,0
2,25,0,7,9082,1,0
2,26,0,7,9142,1,0
2,27,0,7,9202,1,0
2,28,0,7,9262,1,0
2,29,0,7,9322,1,0
2,30,0,7,9382,1,0
2,31,0,7,9442,1,0
2,32,0,7,9502,1,0
2,33,0,7,9562,1,0
2,34,0,7,9622,1,0
2,35,0,7,9682,1,0
2,36,0,7,9742,1,0
2,37,0,7,9802,1,0
2,38,0,7,9862,1,0
2,39,0,7,9922,1,0
2,40,0,7,9982,1,0
2,41,0,7,10042,1,0
2,42,0,7,10103,1,0
2,43,0,7,10162,1,0
2,44,0,7,10222,1,0
2,45,0,7,10282,1,0
2,46,0,7,10342,1,0
2,47,0,7,10402,1,0
2,48,0,7,10462,1,0
2,49,0,7,10522,1,0
2,50,0,7,10582,1,0
2,51,0,7,10642,1,0
2,52,0,7,10702,1,0
2,53,0,7,10762,1,0
2,54,0,7,10822,1,0
2,55,0,7,10882,1,0
2,56,0,7,10942,1,0
2,57,0,7,11002,1,0
2,58,0,7,11062,1,0
2,59,0,7,11122,1,0
3,0,0,7,11182,1,0
3,1,0,7,11242,1,0
3,2,0,7,11302,1,0
3,3,0,7,11362,1,0
3,4,0,7,11422,1,0
3,5,0,7,11482,1,0
3,6,0,7,11542,1,0
3,7,0,7,11602,1,0
3,8,0,7,11662,1,0
3,9,0,7,11722,1,0
3,10,0,7,11782,1,0
3,11,0,7,11842,1,0
3,12,0,7,11902,1,0
3,13,0,7,11962,1,0
3,14,0,7,12022,1,0
3,15,0,7,12082,1,0
3,16,0,7,12142,1,0
3,17,0,7,12202,1,0
3,18,0,7,12262,1,0
3,19,0,7,12322,1,0
3,20,0,7,12382,1,0
3,21,0,7,12442,1,0
